"","Name","Year","Acre_feet","irrig_temp","irrig_prcp","AF_used","class1_urban","et","lt","d.et","d.urb","d.use","d.prcp","d.temp","d.Acre_feet","scale_d.use","scale_d.urb","scale_d.prcp","scale_d.temp","scale_d.et"
"1178","Penitentiary Canal",2010,1544.65148,24.18521524,257.4049619,510,93.65079365,0.769321911,7.34255358459699,0.059889811,0,-12,-59.311542,0.341180210000001,-138.010234,0.00421312441495084,-0.116360851150612,-0.530163978283794,0.172513265781068,0.299758359524267
"1179","Penitentiary Canal",2011,1389.960216,25.0725449,198.5550745,528,93.3106576,0.660621437,7.2370304041324,-0.108700474,-0.340136049999998,18,-58.8498874,0.887329659999999,-154.691264,0.00553569484232875,-0.20259029656486,-0.526312377898581,0.399388222376213,-0.568390813781568
"1180","Penitentiary Canal",2012,1651.24346,25.68042504,212.0524436,719,93.3106576,0.709149207,7.40928389519281,0.04852777,0,191,13.4973691,0.607880139999999,261.283244,0.013162517640208,-0.116360851150612,0.0772832994854292,0.283302602001544,0.241249967411299
"1181","Penitentiary Canal",2013,1365.940326,25.68096461,149.9652635,842,93.42403628,0.774246605,7.21959835396421,0.065097398,0.113378679999997,123,-62.0871801,0.000539570000000822,-285.303134,0.0101646913381514,-0.0876177035242453,-0.553321223495191,0.0310083527677108,0.326574628023773
"1182","Penitentiary Canal",2014,1747.045333,26.09147022,189.1467288,807,93.3106576,0.88143219,7.46568125885291,0.107185585,-0.113378679999997,-35,39.1814653,0.410505610000001,381.105007,0.00319915375396111,-0.145103998776979,0.291566607434157,0.201311604982803,0.543306124444171
"1183","Penitentiary Canal",2015,1698.013815,26.0144847,209.2933084,1061,95.23809524,0.866189575,7.4372145028806,-0.0152426149999999,1.92743764000001,254,20.1465796,-0.0769855200000009,-49.031518,0.0159399155377016,0.372272678778806,0.132757893961812,-0.00119620484703223,-0.0871331717425655
"1184","Penitentiary Canal",2016,1824.004187,25.58685567,142.9530456,823,95.12471655,0.896232022,7.50878946613603,0.0300424469999999,-0.113378690000005,-238,-66.3402628,-0.427629030000002,125.990372,-0.00575023947129605,-0.145104001312127,-0.588804840393321,-0.146856392020378,0.146060509248029
"1185","Penitentiary Canal",2017,1527.196894,25.05842967,240.1169167,524,95.01133787,0.835493292,7.33118923862215,-0.06073873,-0.113378679999997,-299,97.1638711,-0.528426,-296.807293,-0.00843946600696445,-0.145103998776979,0.775315835785415,-0.188728279273348,-0.321413662020385
"1186","Penitentiary Canal",2018,1391.348649,25.35429676,173.0096985,592,95.23809524,0.850094606,7.23802880681454,0.014601314,0.226757370000001,68,-67.1072182,0.295867090000002,-135.848245,0.00773997888795859,-0.0588745533627307,-0.595203575971999,0.153689824444286,0.0665469901335944
"1187","Penitentiary Canal",2019,1283.546748,23.27546146,222.6049247,489,96.2585034,0.743746271,7.15738242193074,-0.106348335,1.02040815999999,-103,49.5952262,-2.0788353,-107.801901,0.000201327451904528,0.142327487627277,0.378448976837489,-0.832781006310263,-0.556278564678065
"1188","Penitentiary Canal",2020,1290.151722,24.76357771,279.1721794,638,96.03174603,0.848559616,7.16251510439323,0.104813345,-0.226757370000001,149,56.5672547,1.48811625,6.60497400000008,0.0113109190418789,-0.173847148938494,0.436616853116227,0.648959894615737,0.53109036601608
"1189","Phyllis Canal",1988,120599.8802,25.71224247,84.20654288,41345,25.93136483,0.776819224,11.7002335699082,0.0385020030000001,0.62584691,-11434,20.05494054,-1.6519825,-9773.17939999999,-0.49933352296873,0.0423004608847374,0.131993346096814,-0.655462855623639,0.189622666746811
"1190","Phyllis Canal",1989,134718.458,26.06343084,78.7379709,43889,26.37884852,0.812112359,11.8109423834487,0.035293135,0.447483689999999,2544,-5.46857198000001,0.351188369999999,14118.5778,0.116896124827548,-0.00291721463921767,-0.0809502066242026,0.176670737450401,0.173098724685454
"1191","Phyllis Canal",1990,134031.9771,26.24854915,153.6400855,40268,26.71162512,0.868944778,11.8058336855389,0.056832419,0.332776600000003,-3621,74.9021146,0.18511831,-686.480900000024,-0.154892097998611,-0.0319971335592556,0.589585226990659,0.107683873773704,0.28401443728538
"1192","Phyllis Canal",1991,106221.0703,25.58719499,137.9791704,28490,27.00217439,0.740338486,11.5732777701825,-0.128606292,0.29054927,-11778,-15.6609151,-0.661354159999998,-27810.9068,-0.514498997202664,-0.0427023770852645,-0.165985279787573,-0.243947726130381,-0.670895056186025
"1193","Phyllis Canal",1992,79545.70327,27.1884441,93.64532043,24353,27.43138058,0.796948092,11.2840870193593,0.0566096060000001,0.429206189999999,-4137,-44.33384997,1.60124911,-26675.36703,-0.177640309349511,-0.00755082724381788,-0.405204572718816,0.695956211653106,0.282867070331515
"1194","Phyllis Canal",1993,127291.5319,24.22926734,159.5169412,30266,27.98600826,0.702636566,11.7542352615159,-0.094311526,0.554627679999999,5913,65.87162077,-2.95917676,47745.82863,0.265420783822087,0.0242453482151751,0.514243502865557,-1.19848206217768,-0.494295480761989
"1195","Phyllis Canal",1994,113826.7076,27.09716208,98.18987254,45944,28.38559229,0.879248429,11.6424324620672,0.176611863,0.399584030000003,15678,-61.32706866,2.86789474,-13464.8243,0.695917457933595,-0.0150604764820322,-0.546979587312841,1.22213118505587,0.900814066561958
"1196","Phyllis Canal",1995,129130.6105,25.00610623,142.7891005,22648,28.94652255,0.819201567,11.7685796556232,-0.060046862,0.560930259999999,-23296,44.59922796,-2.09105585,15303.9029,-1.02227786995395,0.0258431440914985,0.336767189748823,-0.837857522913582,-0.317850914426496
"1197","Phyllis Canal",1996,142703.1375,25.59625811,121.0672256,25549,29.41039297,0.733516882,11.8685217899086,-0.085684685,0.463870419999999,2901,-21.7218749,0.590151880000001,13572.527,0.132634712913345,0.001237060216544,-0.21655207821314,0.275938137534891,-0.44987189560469
"1198","Phyllis Canal",1997,153205.641,24.56853987,151.2988355,14694,29.67573189,0.857497649,11.9395363567596,0.123980767,0.265338920000001,-10855,30.2316099,-1.02771824,10502.5035,-0.473807913720337,-0.0490935681959949,0.216897652535336,-0.396138366893676,0.629792266684343
"1199","Phyllis Canal",1998,144717.5554,24.81995573,212.8156693,33492,30.14716541,0.807266026,11.8825392279973,-0.0502316230000001,0.471433519999998,18798,61.5168338,0.251415860000002,-8488.08559999999,0.833464782380898,0.00315441628219006,0.477911363705308,0.1352244192757,-0.26730771958197
"1200","Phyllis Canal",1999,148157.8938,25.62115628,48.63369202,30280,30.59338859,0.66068395,11.9060338340662,-0.146582076,0.44622318,-3212,-164.18197728,0.801200550000001,3440.33839999998,-0.136861054505359,-0.00323677229339442,-1.40510166746054,0.363609484353446,-0.763460662911965
"1201","Phyllis Canal",2000,138837.7402,25.296446,157.7170331,46479,31.36860681,0.85557195,11.841061193554,0.194888,0.775218219999999,16199,109.08334108,-0.324710280000001,-9320.15359999999,0.718886097689058,0.0801682647299922,0.874760388415224,-0.104103099969866,0.994926329482529
"1202","Phyllis Canal",2001,85382.08031,26.67193319,78.26300121,38979,32.8742949,0.706840806,11.3548915253232,-0.148731144,1.50568809,-7500,-79.45403189,1.37548719,-53455.65989,-0.325900454258574,0.265353021776235,-0.698213472038338,0.602172860226428,-0.77452720572953
"1203","Phyllis Canal",2002,124662.6333,25.89126316,43.75019368,44278,34.32452022,0.670844695,11.7333664339966,-0.035996111,1.45022531999999,5299,-34.51280753,-0.78067003,39280.55299,0.238352175741753,0.251292401332625,-0.32326727404338,-0.293512516184389,-0.194002499329301
"1204","Phyllis Canal",2003,150622.3623,27.06182735,94.81506106,50764,35.38335487,0.686560769,11.9225310713725,0.015716074,1.05883465,6486,51.06486738,1.17056419,25959.729,0.290681878985005,0.152069162824356,0.39071024431974,0.517046166918677,0.0722874037786298
"1205","Phyllis Canal",2004,120511.8138,26.10041231,160.9138934,36648,36.32433114,0.650023817,11.6995030669413,-0.036536952,0.94097627,-14116,66.09883234,-0.961415040000002,-30110.5485,-0.617571319176315,0.122190345966155,0.51613913689701,-0.368595474335386,-0.196787539208911
"1206","Phyllis Canal",2005,113115.2349,25.53660109,160.836544,41101,37.19913024,0.672110357,11.6361623559504,0.02208654,0.874799100000004,4453,-0.0773494000000028,-0.563811219999998,-7396.57890000001,0.201055689689696,0.105413468983594,-0.0359710491201018,-0.203427589602434,0.105091872858642
"1207","Phyllis Canal",2006,121598.1634,26.39212046,123.3106594,38144,38.49872373,0.649166886,11.7084771447817,-0.0229434709999999,1.29959349,-2957,-37.5258846,0.85551937,8482.92850000001,-0.125619205872647,0.213105037298048,-0.348405480840162,0.386173967261558,-0.12678843283989
"1208","Phyllis Canal",2007,118028.8991,26.84107146,121.703995,44355,40.67437683,0.67418847,11.6786847810899,0.025021584,2.1756531,6211,-1.6066644,0.448950999999997,-3569.26430000001,0.278558316734041,0.43519891508643,-0.0487301773582061,0.217282135004453,0.120205768788151
"1209","Phyllis Canal",2008,130154.8773,25.71333881,85.35703828,39794,41.29707245,0.686224835,11.7764803841731,0.0120363649999999,0.622695620000002,-4561,-36.34695672,-1.12773265,12125.9782,-0.196332638056452,0.0415015629465762,-0.338569644531491,-0.437685172310469,0.0533388841391022
"1210","Phyllis Canal",2009,122226.1318,24.00232323,143.2475464,39790,41.0764819,0.674908989,11.7136281473753,-0.011315846,-0.220590550000004,-4,57.89050812,-1.71101558,-7928.74549999999,0.00456580986225162,-0.172283770200576,0.447656802425094,-0.679985680763678,-0.0669124261574158
"1211","Phyllis Canal",2010,111246.6025,24.28844375,155.6817359,30185,40.94286705,0.641254437,11.6195046602363,-0.033654552,-0.133614850000001,-9605,12.4341895,0.286120520000001,-10979.5293,-0.418700812579591,-0.150234162769913,0.0684131551027895,0.149641019404381,-0.18194473152793
"1212","Phyllis Canal",2011,100195.4499,24.88859981,148.9898145,14855,40.94034601,0.59583684,11.5148780564222,-0.0454175969999999,-0.00252103999999775,-15330,-6.69192140000001,0.60015606,-11051.1526,-0.671091335804208,-0.116999971529258,-0.0911566533861781,0.280093955879613,-0.242518078279846
"1213","Phyllis Canal",2012,108096.1291,25.65646084,141.4670228,29027,41.0626162,0.764150442,11.5907761944755,0.168313602,0.122270190000002,14172,-7.5227917,0.767861030000002,7900.6792,0.629524422479225,-0.0853635761649263,-0.0980886331986641,0.349759974566514,0.858082491447614
